video_id,channel_title,views,likes
XpVt6Z1Gjjo,Logan Paul Vlogs,4394029,320053
K4wEI5zhHB0,Apple,7860119,185853
cLdxuaxaQwc,PewDiePie,5845909,576597
WYYvHb03Eog,The Verge,2642103,24975
sjlHnJvXdQs,jacksfilms,1168130,96666
cMKX2tE5Luk,A24,1311445,34507
8wNr-NQImFg,Late Night with Seth Meyers,666169,9985
_HTXMhKWqnA,Marques Brownlee,1728614,74062
_ANP3HR1jsM,RomanAtwoodVlogs,1338533,69687
zgLtEob6X-Q,Screen Junkies,1056891,29943
Ayb_2qbZHm4,CollegeHumor,859289,34485
CsdzflTXBVQ,Awkward Puppets,452477,28050
l864IBj7cgw,The Tonight Show Starring Jimmy Fallon,258781,8085
4MkC65emkG4,MTV,274358,9215
vu_9muoxT50,America's Got Talent,473691,14740
1L7JFN7tQLs,Jonathan Morrison,514972,18936
ZQK1F0wz6z4,Wong Fu Productions,282858,14870
T_PuZBdT2iM,ProZD,1582683,65749
w8fAellnPns,You Suck At Cooking,479951,23945
UCrBICYM0yM,Paramount Pictures,2693468,7941
Ifnaxi2LQg,FergieVEVO,815608,66420
B7YaMkCl3XA,Al Jazeera English,382525,1521
5ywKal6-anc,TMZ,703750,2921
4Yue-q9Jdbk,SUPERFRUIT,255967,21817
JhA1Wi9mrns,Kid Rock,96872,3498
EVp4-qjWVJE,NFL,743947,6126
LcZ2AuvxXNA,Dude Perfect,10535242,384920
MdzGZv3zQ-U,First We Feast,483360,16258
1ZNZY-gd3K0,LastWeekTonight,3298456,65730
2wxyDrfwlXQ,grav3yardgirl,321297,15424
QBGaO89cBMI,Radiohead,752844,42290
ql0Op1VcELw,Wendover Productions,602127,19575
JO7X9ZPoAp8,WatchCut Video,136643,6218
GGm0FQ6i74U,Vox,244433,9143
a7Sf_H2cFdM,Rooster Teeth,917643,25456
oDIDZ9EmQfA,Rclbeauty101,796896,39791
zAtHxJvSczA,Watch What Happens Live with Andy Cohen,2932,71
l_uNfGY3v8E,USA TODAY,224532,490
Rew50oYjRqA,Casey Holmes,246389,15314
WWexI9YiLSc,Movieclips Trailers,165647,3712
LDcm6twPEJA,The School of Life,162818,9531
O78Lpo4ctSE,LANYVEVO,163656,19183
qJJHhVf3_ZM,The Late Late Show with James Corden,220661,2070
3yoGE3v4A8w,thataylaa,142039,9889
zTjcPeb2Gwg,Wil Dasovich,807779,26521
hQbeB0YXLhs,Nyma Tang,1936893,74587
L3f7_y9UPh4,Jimmy Kimmel Live,279903,4389
HwYK5Ay1YNQ,WPTV News | West Palm Beach Florida,262875,1069
6vGg-jJl30A,Nile Wilson,185541,12179
9CILSvf1snQ,The Scran Line,27794,1692
