Date,Timestamp,Players,Twitch Viewers
2020-10-24,22:30,133263,77178
2020-10-24,22:40,135949,80989
2020-10-24,22:50,139307,80380
2020-10-24,23:00,141980,82574
2020-10-24,23:10,144688,93862
2020-10-24,23:20,147728,104002
2020-10-24,23:30,150058,107588
2020-10-24,23:40,152035,107416
2020-10-24,23:50,154534,108577
2020-10-25,00:00,158751,113424
2020-10-25,00:10,162588,111550
2020-10-25,00:20,164423,114695
2020-10-25,00:30,165132,115540
2020-10-25,00:40,155848,114611
2020-10-25,00:50,157705,108799
2020-10-25,01:00,167449,113678
2020-10-25,01:10,177186,117476
2020-10-25,01:20,185055,118082
2020-10-25,01:30,190408,120627
2020-10-25,01:40,191391,122478
2020-10-25,01:50,196197,129266
2020-10-25,02:00,207267,123671
2020-10-25,02:10,219061,132149
2020-10-25,02:20,229184,148821
2020-10-25,02:30,232816,152476
2020-10-25,02:40,225993,188999
2020-10-25,02:50,240794,154117
2020-10-25,03:00,249699,163281
2020-10-25,03:10,250508,231906
2020-10-25,03:20,260204,271774
2020-10-25,03:30,276409,292498
2020-10-25,03:40,279618,362453
2020-10-25,03:50,280995,376628
2020-10-25,04:00,269006,383963
2020-10-25,04:10,264715,389654
2020-10-25,04:20,270144,380270
2020-10-25,04:30,272849,391327
2020-10-25,04:40,277626,390044
2020-10-25,04:50,276309,392160
2020-10-25,05:00,281812,374816
2020-10-25,05:10,285090,343770
2020-10-25,05:20,286252,347175
2020-10-25,05:30,278723,348656
2020-10-25,05:40,274416,359371
2020-10-25,05:50,272961,350472
2020-10-25,06:00,268103,338786
2020-10-25,06:10,260980,239771
2020-10-25,06:20,253877,167198
2020-10-25,06:30,245658,163860
2020-10-25,06:40,236361,151428
2020-10-25,06:50,228021,150732
2020-10-25,07:00,219141,148386
2020-10-25,07:10,211486,198594
2020-10-25,07:20,203687,224907
2020-10-25,07:30,182705,229982
2020-10-25,07:40,183105,228044
2020-10-25,07:50,181950,279493
2020-10-25,08:00,180909,314682
2020-10-25,08:10,182274,322287
2020-10-25,08:20,184492,325303
2020-10-25,08:30,187087,332531
2020-10-25,08:40,189714,330709
2020-10-25,08:50,192727,333774
2020-10-25,09:00,196398,336173
2020-10-25,09:10,201781,333301
2020-10-25,09:20,207099,304745
2020-10-25,09:30,212212,303755
2020-10-25,09:40,217887,298793
2020-10-25,09:50,222564,289833
2020-10-25,10:00,226875,278621
2020-10-25,10:10,231773,220263
2020-10-25,10:20,236481,230794
2020-10-25,10:30,239618,224523
2020-10-25,10:40,242891,229198
2020-10-25,10:50,245062,225014
2020-10-25,11:00,245871,234295
2020-10-25,11:10,246382,226187
2020-10-25,11:20,246834,221626
2020-10-25,11:30,245795,220031
2020-10-25,11:40,244052,222774
2020-10-25,11:50,241952,228075
2020-10-25,12:00,237781,215769
2020-10-25,12:10,232713,208893
2020-10-25,12:20,228103,188303
2020-10-25,12:30,222801,191248
2020-10-25,12:40,216629,190672
2020-10-25,12:50,210451,186161
2020-10-25,13:00,203595,175772
2020-10-25,13:10,195441,183172
2020-10-25,13:20,188118,167611
2020-10-25,13:30,180591,164360
2020-10-25,13:40,173091,161233
2020-10-25,13:50,165641,156598
2020-10-25,14:00,157724,160923
2020-10-25,14:10,149605,150306
2020-10-25,14:20,142463,149041
2020-10-25,14:30,136211,138129
2020-10-25,14:40,129823,137420
2020-10-25,14:50,123819,131022
2020-10-25,15:00,118344,129402
2020-10-25,15:10,112216,129235
2020-10-25,15:20,107496,131284
2020-10-25,15:30,103152,131171
2020-10-25,15:40,99469,129478
2020-10-25,15:50,96111,125072
2020-10-25,16:00,93428,125407
2020-10-25,16:10,90502,42774
2020-10-25,16:20,88197,36171
2020-10-25,16:30,86871,33377
2020-10-25,16:40,85550,36315
2020-10-25,16:50,84651,36390
2020-10-25,17:00,83779,35538
2020-10-25,17:10,83183,36772
2020-10-25,17:20,83205,35763
2020-10-25,17:30,83380,35409
2020-10-25,17:40,84117,33267
2020-10-25,17:50,84433,33415
2020-10-25,18:00,84763,34182
2020-10-25,18:10,84984,33367
2020-10-25,18:20,85849,34465
2020-10-25,18:30,86204,34525
2020-10-25,18:40,87040,34686
2020-10-25,18:50,88100,34950
2020-10-25,19:00,89143,34794
2020-10-25,19:10,90348,34889
2020-10-25,19:20,91221,33148
2020-10-25,19:30,92259,32567
2020-10-25,19:40,93900,26820
2020-10-25,19:50,95503,26690
2020-10-25,20:00,96914,26426
2020-10-25,20:10,98713,24021
2020-10-25,20:20,100617,23312
2020-10-25,20:30,102431,22956
2020-10-25,20:40,104682,23128
2020-10-25,20:50,107359,24482
2020-10-25,21:00,109687,24364
2020-10-25,21:10,112277,35603
2020-10-25,21:20,114598,35863
2020-10-25,21:30,117333,36048
2020-10-25,21:40,120146,37704
2020-10-25,21:50,122518,31630
2020-10-25,22:00,126129,43770
2020-10-25,22:10,129767,46003
2020-10-25,22:20,133139,47635
2020-10-25,22:30,135936,48113
2020-10-25,22:40,138817,52335
2020-10-25,22:50,141534,54962
2020-10-25,23:00,143913,80172
2020-10-25,23:10,146832,121078
2020-10-25,23:20,150288,151281
2020-10-25,23:30,152353,176728
2020-10-25,23:40,154839,183733
2020-10-25,23:50,157240,216889
2020-10-26,00:00,160410,232907
2020-10-26,00:10,164031,233404
2020-10-26,00:20,166647,235798
2020-10-26,00:30,169156,242299
2020-10-26,00:40,172714,240606
2020-10-26,00:50,176018,247285
2020-10-26,01:00,179742,244967
2020-10-26,01:10,183793,240740
2020-10-26,01:20,188193,240091
2020-10-26,01:30,192445,240555
2020-10-26,01:40,197089,229327
2020-10-26,01:50,202287,237263
2020-10-26,02:00,203551,226706
2020-10-26,02:10,211667,230782
2020-10-26,02:20,219122,223361
2020-10-26,02:30,228528,217181
2020-10-26,02:40,237456,219694
2020-10-26,02:50,245920,132981
2020-10-26,03:00,257126,108793
2020-10-26,03:10,270746,106517
2020-10-26,03:20,280612,112269
2020-10-26,03:30,290315,118849
2020-10-26,03:40,299078,119130
2020-10-26,03:50,306037,123345
2020-10-26,04:00,311863,182108
2020-10-26,04:10,318688,211585
2020-10-26,04:20,322924,224375
2020-10-26,04:30,324761,262478
2020-10-26,04:40,325473,280531
2020-10-26,04:50,323906,294400
2020-10-26,05:00,319583,283931
2020-10-26,05:10,311607,295925
2020-10-26,05:20,304524,301054
2020-10-26,05:30,297234,280637
2020-10-26,05:40,288489,330896
2020-10-26,05:50,280017,332978
2020-10-26,06:00,269891,336175
2020-10-26,06:10,258940,327628
2020-10-26,06:20,248642,329987
2020-10-26,06:30,238249,308632
2020-10-26,06:40,227848,329463
