student_num,level,participation,midterm,pe,final,total,faculty,is_afast
A0001414E,53,3,31,16,50.5,62.40,FOS,yes
A0000285W,46,2.5,16,9,47.5,52.20,FOS,no
A0002236Y,53,4,63,25.5,80,86.35,MED,no
A0000592U,51,3,31,18,59,66.80,FOS,nil
A0001983J,51,2.5,55,20,84.5,82.30,SOC,no
A0001191B,50,3.5,51,30,75.5,83.90,SOC,no
A0002050L,50,3,27,14,60,64.40,FOS,nil
A0001915U,54,3.5,51,25,71,79.60,FOS,nil
A0000509X,53,4,49,17.5,63,72.75,FOS,no
A0000952U,51,3,34.5,10.5,49.5,59.95,FASS,no
A0002205H,50,3,52,25,72,79.70,FOS,nil
A0000551A,50,3,21,,,32.20,FOS,yes
A0000778H,52,3,48,24,61,74.00,FOS,nil
A0001244A,51,4,44,24,65,75.80,FOS,nil
A0000315H,50,4,20.5,10,58,61.30,SOC,no
A0002021N,51,3.5,52,14,67.5,72.90,FOS,nil
A0000035J,54,3.5,37.5,19,58.5,68.90,FOS,no
A0000988B,50,4.5,25.5,7.5,36.5,52.95,FOS,yes
A0002149U,50,2.5,33,6,52,57.90,FOS,nil
A0000019E,49,3,39,8,46.5,57.90,SOC,nil
A0001801E,50,3.5,59,26,86,87.70,FOS,nil
A0001745R,52,3,60,29.5,73.5,84.15,SOC,no
A0001591U,51,3,37.5,16,66,69.90,FOS,yes
A0001762U,54,1,52,27,52,70.70,FOS,nil
A0000296R,53,3.5,49,15,49,65.40,FOS,no
A0000406E,54,3.5,53,24,64,76.70,FASS,nil
A0001649L,55,3,61,17,71,77.10,FOS,nil
A0000207H,52,4.5,34.5,15,38.5,59.30,FASS,no
A0000954N,58,5,69,29,92,95.10,FOS,nil
A0002137Y,50,2.5,51,18.5,71,75.35,FOS,no
A0002198L,49,3.5,36,12,38,56.40,FOS,nil
A0001189M,51,3.5,34,16,50,63.30,SOC,no
A0001084Y,50,3,62,24,75,82.40,FOS,nil
A0001548N,48,2.5,20,8,30.5,46.70,SOC,nil
A0000583U,55,3.5,61,27,92,91.00,,nil
A0000722A,50,2.5,25,3,45,52.00,FOS,nil
A0001848J,54,3.5,49.5,25.5,66,77.55,SOC,no
A0000977E,51,3,22,21,58.5,66.30,FOS,no
A0002044E,51,3,49.5,22.5,60.5,73.35,SOC,no
A0000289M,49,2.5,30,4.5,41,51.65,FOS,no
A0001788A,50,3,40.5,16,41.5,60.70,FOS,no
A0001284W,51,3.5,40,16,58,67.70,SOC,no
A0001847L,51,3,61,26,84,86.80,BIZ,nil
A0001691R,51,2,41,,,35.20,SOC,yes
A0000992L,47,3.5,27,10,49,57.00,FOS,nil
A0002087R,45,3,39,22,52,65.10,FOS,nil
A0000389L,50,3.5,24,13,51,60.20,FOS,nil
A0001301N,50,5,44,22.5,69.5,77.85,FOS,no
A0001095W,36,4,24,13,40,49.30,FASS,yes
A0000132M,51,3,46,20,49.5,67.00,SOC,no
A0001062H,50,3,39,9,60,64.30,FOS,nil
A0001288M,45,3,36,13,30,51.20,SOC,yes
A0001235A,53,4.5,40,10,65,68.50,FOS,nil
A0001865L,45,4,24,11.5,41.5,53.65,FASS,yes
A0002072A,50,3.5,37.5,22,66.5,73.60,FOS,no
A0001677J,51,3,60,20,76,80.40,FOS,nil
A0001693M,48,2.5,55.5,13.5,68.5,71.75,FOS,no
A0001870U,57,4.5,60,29.5,88,91.45,FOS,no
A0001495M,48,3.5,20,16,48,58.70,FOS,nil
A0000808U,54,4,48,20.5,63.5,74.25,SOC,no
A0000667M,55,3.5,66,26.5,97,93.75,,no
A0000966J,52,3,41,15,49,63.30,FOS,nil
A0001173B,11,0,,,,5.50,FOS,yes
A0000486N,50,3,33,18,63,68.80,FOS,no
A0001230M,52,3,48,24,71,78.00,SOC,no
A0000029A,50,2.5,66,22,72.5,80.70,,no
A0001671W,51,3.5,54,26,80.5,84.50,SOC,nil
A0002142H,51,3.5,36,17.5,67,71.25,SOC,no
A0001493R,36,4,12,11.5,42.5,47.15,FOS,yes
A0001598E,27,0,22,7,39,37.00,FOS,nil
A0000526Y,46,2,30,12.5,47,56.05,FOS,no
A0001780U,51,4,49.5,28,88.5,88.30,SOC,no
A0001313J,51,3,27,18,44.5,60.20,FOS,no
A0002058W,45,3,20,6,36,46.90,FOS,nil
A0001281B,51,3,59,22.5,71,79.45,BIZ,no
A0001652X,52,3.5,42,23,64,74.00,SOC,nil
A0001245B,49,3,55,18.5,52,68.55,SOC,no
A0000463Y,50,3.5,23.5,14.5,49.5,60.25,FOS,no
A0001782N,25,3,25,10,44,43.10,FOS,nil
