year,sex,course,intake,graduates
2005,M,Accountancy,876,706
2005,F,Accountancy,530,495
2005,M,"Architecture, Building & Real Estate",299,180
2005,F,"Architecture, Building & Real Estate",175,106
2005,M,Business & Administration,1545,1256
2005,F,Business & Administration,901,898
2005,M,Dentistry,33,34
2005,F,Dentistry,19,12
2005,M,Education,0,0
2005,F,Education,0,0
2005,M,Engineering Sciences,4028,3859
2005,F,Engineering Sciences,1170,1200
2005,M,Fine & Applied Arts,163,22
2005,F,Fine & Applied Arts,103,11
2005,M,Health Sciences,176,85
2005,F,Health Sciences,149,69
2005,M,Humanities & Social Sciences,2233,1650
2005,F,Humanities & Social Sciences,1644,1249
2005,M,Information Technology,773,562
2005,F,Information Technology,280,200
2005,M,Law,220,187
2005,F,Law,125,125
2005,M,Mass Communication,172,146
2005,F,Mass Communication,130,110
2005,M,Medicine,233,209
2005,F,Medicine,103,86
2005,M,"Natural, Physical & Mathematical Sciences",1701,1135
2005,F,"Natural, Physical & Mathematical Sciences",1004,769
2005,M,Services,56,0
2005,F,Services,38,0
2006,M,Accountancy,934,644
2006,F,Accountancy,557,468
2006,M,"Architecture, Building & Real Estate",379,329
2006,F,"Architecture, Building & Real Estate",226,193
2006,M,Business & Administration,1772,1250
2006,F,Business & Administration,1035,818
2006,M,Dentistry,42,32
2006,F,Dentistry,26,14
2006,M,Education,0,0
2006,F,Education,0,0
2006,M,Engineering Sciences,4101,3811
2006,F,Engineering Sciences,1025,1137
2006,M,Fine & Applied Arts,233,24
2006,F,Fine & Applied Arts,137,13
2006,M,Health Sciences,240,81
2006,F,Health Sciences,201,57
2006,M,Humanities & Social Sciences,2573,1758
2006,F,Humanities & Social Sciences,1813,1298
2006,M,Information Technology,728,540
2006,F,Information Technology,185,139
2006,M,Law,238,204
2006,F,Law,102,134
2006,M,Mass Communication,180,141
2006,F,Mass Communication,153,108
2006,M,Medicine,251,229
2006,F,Medicine,119,94
2006,M,"Natural, Physical & Mathematical Sciences",1994,1384
2006,F,"Natural, Physical & Mathematical Sciences",1348,955
2006,M,Services,68,0
2006,F,Services,36,0
2007,M,Accountancy,1000,834
2007,F,Accountancy,625,574
2007,M,"Architecture, Building & Real Estate",453,288
2007,F,"Architecture, Building & Real Estate",313,177
2007,M,Business & Administration,1733,1384
2007,F,Business & Administration,1069,893
2007,M,Dentistry,42,36
2007,F,Dentistry,26,15
2007,M,Education,0,0
2007,F,Education,0,0
2007,M,Engineering Sciences,4064,4366
2007,F,Engineering Sciences,1192,1258
2007,M,Fine & Applied Arts,242,69
2007,F,Fine & Applied Arts,147,41
2007,M,Health Sciences,259,86
2007,F,Health Sciences,207,67
2007,M,Humanities & Social Sciences,2812,1607
2007,F,Humanities & Social Sciences,2056,1123
2007,M,Information Technology,776,573
2007,F,Information Technology,249,206
2007,M,Law,332,207
2007,F,Law,208,123
2007,M,Mass Communication,182,169
2007,F,Mass Communication,136,141
2007,M,Medicine,250,227
2007,F,Medicine,116,83
2007,M,"Natural, Physical & Mathematical Sciences",2137,1325
2007,F,"Natural, Physical & Mathematical Sciences",1415,869
2007,M,Services,71,0
2007,F,Services,48,0
2008,M,Accountancy,1055,831
2008,F,Accountancy,638,536
2008,M,"Architecture, Building & Real Estate",452,368
2008,F,"Architecture, Building & Real Estate",272,232
2008,M,Business & Administration,1536,1462
2008,F,Business & Administration,943,959
2008,M,Dentistry,44,35
2008,F,Dentistry,21,17
2008,M,Education,0,0
2008,F,Education,0,0
2008,M,Engineering Sciences,3598,3887
2008,F,Engineering Sciences,1064,1254
2008,M,Fine & Applied Arts,236,81
2008,F,Fine & Applied Arts,129,50
2008,M,Health Sciences,247,87
2008,F,Health Sciences,185,77
2008,M,Humanities & Social Sciences,2823,1817
2008,F,Humanities & Social Sciences,1971,1312
2008,M,Information Technology,1033,900
2008,F,Information Technology,307,275
2008,M,Law,356,209
2008,F,Law,221,115
2008,M,Mass Communication,169,164
2008,F,Mass Communication,133,132
2008,M,Medicine,260,227
2008,F,Medicine,127,96
2008,M,"Natural, Physical & Mathematical Sciences",2261,1347
2008,F,"Natural, Physical & Mathematical Sciences",1333,856
2008,M,Services,65,57
2008,F,Services,36,43
2009,M,Accountancy,1142,937
2009,F,Accountancy,663,595
2009,M,"Architecture, Building & Real Estate",434,283
2009,F,"Architecture, Building & Real Estate",254,163
2009,M,Business & Administration,1519,1482
2009,F,Business & Administration,824,855
2009,M,Dentistry,48,31
2009,F,Dentistry,29,19
2009,M,Education,0,0
2009,F,Education,0,0
2009,M,Engineering Sciences,4199,3870
2009,F,Engineering Sciences,1278,1117
2009,M,Fine & Applied Arts,269,135
2009,F,Fine & Applied Arts,148,88
2009,M,Health Sciences,295,129
2009,F,Health Sciences,204,107
2009,M,Humanities & Social Sciences,3082,2179
2009,F,Humanities & Social Sciences,2138,1606
2009,M,Information Technology,991,616
2009,F,Information Technology,320,175
2009,M,Law,383,207
2009,F,Law,186,118
2009,M,Mass Communication,168,164
2009,F,Mass Communication,102,128
2009,M,Medicine,260,219
2009,F,Medicine,126,97
2009,M,"Natural, Physical & Mathematical Sciences",2413,1646
2009,F,"Natural, Physical & Mathematical Sciences",1382,1040
2009,M,Services,61,49
2009,F,Services,40,36
2010,M,Accountancy,1169,933
2010,F,Accountancy,689,553
2010,M,"Architecture, Building & Real Estate",426,263
2010,F,"Architecture, Building & Real Estate",280,173
2010,M,Business & Administration,1607,1514
2010,F,Business & Administration,901,856
2010,M,Dentistry,48,41
2010,F,Dentistry,31,25
2010,M,Education,0,0
2010,F,Education,0,0
2010,M,Engineering Sciences,4080,3786
2010,F,Engineering Sciences,1144,946
2010,M,Fine & Applied Arts,345,205
2010,F,Fine & Applied Arts,186,121
2010,M,Health Sciences,276,235
2010,F,Health Sciences,189,196
2010,M,Humanities & Social Sciences,2691,2381
2010,F,Humanities & Social Sciences,1807,1645
2010,M,Information Technology,939,631
2010,F,Information Technology,276,162
2010,M,Law,350,227
2010,F,Law,175,89
2010,M,Mass Communication,164,177
2010,F,Mass Communication,122,147
2010,M,Medicine,260,228
2010,F,Medicine,121,94
2010,M,"Natural, Physical & Mathematical Sciences",2232,1766
2010,F,"Natural, Physical & Mathematical Sciences",1297,1172
2010,M,Services,322,64
2010,F,Services,236,35
2011,M,Accountancy,1100,839
2011,F,Accountancy,618,507
2011,M,"Architecture, Building & Real Estate",475,368
2011,F,"Architecture, Building & Real Estate",315,247
2011,M,Business & Administration,1637,1577
2011,F,Business & Administration,910,944
2011,M,Dentistry,48,42
2011,F,Dentistry,29,26
2011,M,Education,397,406
2011,F,Education,293,303
2011,M,Engineering Sciences,4248,3891
2011,F,Engineering Sciences,1241,1119
2011,M,Fine & Applied Arts,347,216
2011,F,Fine & Applied Arts,180,132
2011,M,Health Sciences,347,255
2011,F,Health Sciences,264,213
2011,M,Humanities & Social Sciences,2453,2480
2011,F,Humanities & Social Sciences,1660,1772
2011,M,Information Technology,1057,583
2011,F,Information Technology,364,195
2011,M,Law,364,329
2011,F,Law,172,208
2011,M,Mass Communication,174,174
2011,F,Mass Communication,135,133
2011,M,Medicine,280,255
2011,F,Medicine,148,119
2011,M,"Natural, Physical & Mathematical Sciences",2252,1836
2011,F,"Natural, Physical & Mathematical Sciences",1335,1217
2011,M,Services,387,74
2011,F,Services,269,50
2012,M,Accountancy,1213,1036
2012,F,Accountancy,682,589
2012,M,"Architecture, Building & Real Estate",395,396
2012,F,"Architecture, Building & Real Estate",216,241
2012,M,Business & Administration,1732,1397
2012,F,Business & Administration,989,825
2012,M,Dentistry,53,42
2012,F,Dentistry,30,21
2012,M,Education,417,614
2012,F,Education,344,503
2012,M,Engineering Sciences,4436,3727
2012,F,Engineering Sciences,1344,1119
2012,M,Fine & Applied Arts,436,257
2012,F,Fine & Applied Arts,270,149
2012,M,Health Sciences,447,279
2012,F,Health Sciences,359,218
2012,M,Humanities & Social Sciences,2596,2231
2012,F,Humanities & Social Sciences,1758,1494
2012,M,Information Technology,1028,764
2012,F,Information Technology,354,280
2012,M,Law,374,347
2012,F,Law,191,207
2012,M,Mass Communication,180,170
2012,F,Mass Communication,143,133
2012,M,Medicine,300,252
2012,F,Medicine,157,123
2012,M,"Natural, Physical & Mathematical Sciences",2244,1911
2012,F,"Natural, Physical & Mathematical Sciences",1382,1074
2012,M,Services,348,189
2012,F,Services,221,135
2013,M,Accountancy,1185,1087
2013,F,Accountancy,679,688
2013,M,"Architecture, Building & Real Estate",404,401
2013,F,"Architecture, Building & Real Estate",222,258
2013,M,Business & Administration,1780,1590
2013,F,Business & Administration,977,897
2013,M,Dentistry,54,48
2013,F,Dentistry,31,27
2013,M,Education,314,565
2013,F,Education,246,402
2013,M,Engineering Sciences,4733,4312
2013,F,Engineering Sciences,1482,1242
2013,M,Fine & Applied Arts,471,290
2013,F,Fine & Applied Arts,271,152
2013,M,Health Sciences,541,391
2013,F,Health Sciences,404,296
2013,M,Humanities & Social Sciences,3186,2584
2013,F,Humanities & Social Sciences,2132,1766
2013,M,Information Technology,1086,824
2013,F,Information Technology,351,251
2013,M,Law,403,368
2013,F,Law,208,179
2013,M,Mass Communication,186,162
2013,F,Mass Communication,135,100
2013,M,Medicine,354,258
2013,F,Medicine,189,124
2013,M,"Natural, Physical & Mathematical Sciences",2237,2127
2013,F,"Natural, Physical & Mathematical Sciences",1430,1257
2013,M,Services,317,481
2013,F,Services,178,345
2014,M,Accountancy,1515,1122
2014,F,Accountancy,860,649
2014,M,"Architecture, Building & Real Estate",470,404
2014,F,"Architecture, Building & Real Estate",314,258
2014,M,Business & Administration,1902,1477
2014,F,Business & Administration,1065,846
2014,M,Dentistry,54,45
2014,F,Dentistry,38,30
2014,M,Education,301,508
2014,F,Education,233,388
2014,M,Engineering Sciences,4938,4221
2014,F,Engineering Sciences,1441,1174
2014,M,Fine & Applied Arts,491,394
2014,F,Fine & Applied Arts,304,229
2014,M,Health Sciences,544,433
2014,F,Health Sciences,379,309
2014,M,Humanities & Social Sciences,3129,2422
2014,F,Humanities & Social Sciences,2107,1619
2014,M,Information Technology,1166,997
2014,F,Information Technology,343,289
2014,M,Law,397,356
2014,F,Law,170,176
2014,M,Mass Communication,185,158
2014,F,Mass Communication,139,114
2014,M,Medicine,379,261
2014,F,Medicine,182,127
2014,M,"Natural, Physical & Mathematical Sciences",2276,1889
2014,F,"Natural, Physical & Mathematical Sciences",1357,1103
2014,M,Services,123,354
2014,F,Services,69,219
2015,M,Accountancy,1470,1036
2015,F,Accountancy,830,556
2015,M,"Architecture, Building & Real Estate",419,539
2015,F,"Architecture, Building & Real Estate",262,351
2015,M,Business & Administration,2120,1619
2015,F,Business & Administration,1272,848
2015,M,Dentistry,54,51
2015,F,Dentistry,34,32
2015,M,Education,294,401
2015,F,Education,247,305
2015,M,Engineering Sciences,4934,4374
2015,F,Engineering Sciences,1429,1296
2015,M,Fine & Applied Arts,466,420
2015,F,Fine & Applied Arts,244,233
2015,M,Health Sciences,569,481
2015,F,Health Sciences,417,353
2015,M,Humanities & Social Sciences,3191,2193
2015,F,Humanities & Social Sciences,2158,1450
2015,M,Information Technology,1247,1066
2015,F,Information Technology,389,377
2015,M,Law,405,355
2015,F,Law,171,168
2015,M,Mass Communication,221,172
2015,F,Mass Communication,181,130
2015,M,Medicine,390,252
2015,F,Medicine,176,115
2015,M,"Natural, Physical & Mathematical Sciences",2147,1935
2015,F,"Natural, Physical & Mathematical Sciences",1288,1145
2015,M,Services,199,342
2015,F,Services,94,188
2016,M,Accountancy,1521,1103
2016,F,Accountancy,912,664
2016,M,"Architecture, Building & Real Estate",419,459
2016,F,"Architecture, Building & Real Estate",252,274
2016,M,Business & Administration,2196,1720
2016,F,Business & Administration,1237,969
2016,M,Dentistry,54,53
2016,F,Dentistry,39,28
2016,M,Education,217,406
2016,F,Education,172,327
2016,M,Engineering Sciences,4997,4283
2016,F,Engineering Sciences,1333,1267
2016,M,Fine & Applied Arts,458,432
2016,F,Fine & Applied Arts,297,259
2016,M,Health Sciences,798,480
2016,F,Health Sciences,593,368
2016,M,Humanities & Social Sciences,3219,2563
2016,F,Humanities & Social Sciences,2205,1760
2016,M,Information Technology,1379,1051
2016,F,Information Technology,398,381
2016,M,Law,399,351
2016,F,Law,210,173
2016,M,Mass Communication,190,188
2016,F,Mass Communication,148,153
2016,M,Medicine,410,278
2016,F,Medicine,204,147
2016,M,"Natural, Physical & Mathematical Sciences",2094,1950
2016,F,"Natural, Physical & Mathematical Sciences",1240,1195
2016,M,Services,201,179
2016,F,Services,110,95
2017,M,Accountancy,1508,1278
2017,F,Accountancy,834,725
2017,M,"Architecture, Building & Real Estate",410,433
2017,F,"Architecture, Building & Real Estate",219,238
2017,M,Business & Administration,2393,1691
2017,F,Business & Administration,1405,936
2017,M,Dentistry,54,56
2017,F,Dentistry,30,33
2017,M,Education,170,260
2017,F,Education,150,206
2017,M,Engineering Sciences,5255,4475
2017,F,Engineering Sciences,1474,1343
2017,M,Fine & Applied Arts,464,424
2017,F,Fine & Applied Arts,276,257
2017,M,Health Sciences,962,552
2017,F,Health Sciences,703,410
2017,M,Humanities & Social Sciences,3173,2908
2017,F,Humanities & Social Sciences,2068,1963
2017,M,Information Technology,1579,977
2017,F,Information Technology,448,330
2017,M,Law,391,375
2017,F,Law,201,188
2017,M,Mass Communication,189,176
2017,F,Mass Communication,135,128
2017,M,Medicine,423,301
2017,F,Medicine,194,156
2017,M,"Natural, Physical & Mathematical Sciences",1495,2038
2017,F,"Natural, Physical & Mathematical Sciences",815,1308
2017,M,Services,202,216
2017,F,Services,121,117
2018,M,Accountancy,1421,1299
2018,F,Accountancy,731,720
2018,M,"Architecture, Building & Real Estate",458,517
2018,F,"Architecture, Building & Real Estate",280,343
2018,M,Business & Administration,2785,1884
2018,F,Business & Administration,1701,1047
2018,M,Dentistry,60,53
2018,F,Dentistry,33,39
2018,M,Education,220,283
2018,F,Education,185,226
2018,M,Engineering Sciences,5213,4380
2018,F,Engineering Sciences,1484,1226
2018,M,Fine & Applied Arts,410,455
2018,F,Fine & Applied Arts,247,275
2018,M,Health Sciences,1001,535
2018,F,Health Sciences,728,385
2018,M,Humanities & Social Sciences,3368,2920
2018,F,Humanities & Social Sciences,2327,1975
2018,M,Information Technology,2039,1244
2018,F,Information Technology,685,373
2018,M,Law,480,403
2018,F,Law,226,165
2018,M,Mass Communication,188,188
2018,F,Mass Communication,146,142
2018,M,Medicine,437,355
2018,F,Medicine,208,189
2018,M,"Natural, Physical & Mathematical Sciences",1739,2110
2018,F,"Natural, Physical & Mathematical Sciences",916,1271
2018,M,Services,222,197
2018,F,Services,104,99
2019,M,Accountancy,1433,1418
2019,M,"Architecture, Building & Real Estate",492,492
2019,M,Business & Administration,3110,2025
2019,M,Dentistry,60,52
2019,M,Education,190,135
2019,M,Engineering Sciences,5101,4439
2019,M,Fine & Applied Arts,423,423
2019,M,Health Sciences,1045,584
2019,M,Humanities & Social Sciences,3311,3030
2019,M,Information Technology,2520,1186
2019,M,Law,465,372
2019,M,Mass Communication,168,216
2019,M,Medicine,430,375
2019,M,"Natural, Physical & Mathematical Sciences",1747,1987
2019,M,Services,218,177
2019,F,Accountancy,780,830
2019,F,"Architecture, Building & Real Estate",288,310
2019,F,Business & Administration,1859,1178
2019,F,Dentistry,39,33
2019,F,Education,156,102
2019,F,Engineering Sciences,1473,1207
2019,F,Fine & Applied Arts,249,242
2019,F,Health Sciences,784,430
2019,F,Humanities & Social Sciences,2299,2052
2019,F,Information Technology,874,383
2019,F,Law,215,155
2019,F,Mass Communication,144,175
2019,F,Medicine,194,181
2019,F,"Natural, Physical & Mathematical Sciences",1023,1196
2019,F,Services,102,82
2020,M,Accountancy,1368,1411
2020,M,"Architecture, Building & Real Estate",483,426
2020,M,Business & Administration,3378,2105
2020,M,Dentistry,72,51
2020,M,Education,184,145
2020,M,Engineering Sciences,5225,4621
2020,M,Fine & Applied Arts,384,429
2020,M,Health Sciences,1018,724
2020,M,Humanities & Social Sciences,2930,3147
2020,M,Information Technology,2863,1367
2020,M,Law,463,394
2020,M,Mass Communication,170,181
2020,M,Medicine,477,386
2020,M,Natural & Mathematical Sciences,1679,1928
2020,M,Services,282,219
2020,F,Accountancy,812,812
2020,F,"Architecture, Building & Real Estate",304,258
2020,F,Business & Administration,2039,1209
2020,F,Dentistry,59,35
2020,F,Education,153,115
2020,F,Engineering Sciences,1503,1246
2020,F,Fine & Applied Arts,251,272
2020,F,Health Sciences,761,522
2020,F,Humanities & Social Sciences,2001,2125
2020,F,Information Technology,846,397
2020,F,Law,259,204
2020,F,Mass Communication,142,142
2020,F,Medicine,224,178
2020,F,Natural & Mathematical Sciences,891,1127
2020,F,Services,139,112
2021,M,Accountancy,1356,1355
2021,F,Accountancy,757,732
2021,M,"Architecture, Building & Real Estate",430,458
2021,F,"Architecture, Building & Real Estate",255,247
2021,M,Business & Administration,3483,2378
2021,F,Business & Administration,2046,1357
2021,M,Dentistry,81,58
2021,F,Dentistry,65,33
2021,M,Education,196,184
2021,F,Education,152,160
2021,M,Engineering Sciences,5116,4534
2021,F,Engineering Sciences,1397,1202
2021,M,Fine & Applied Arts,376,429
2021,F,Fine & Applied Arts,251,255
2021,M,Health Sciences,1093,777
2021,F,Health Sciences,817,576
2021,M,Humanities & Social Sciences,2727,2998
2021,F,Humanities & Social Sciences,1789,1984
2021,M,Information Technology,2952,1418
2021,F,Information Technology,705,426
2021,M,Law,485,415
2021,F,Law,230,216
2021,M,Mass Communication,176,188
2021,F,Mass Communication,140,136
2021,M,Medicine,471,397
2021,F,Medicine,227,196
