price,bedrooms,bathrooms,sqft_living,floors,year_built,zipcode
221900,3,1,1180,1,1955,98178
538000,3,2,2570,2,1951,98125
180000,2,1,770,1,1933,98028
604000,4,3,1960,1,1965,98136
510000,3,2,1680,1,1987,98074
1.23E+06,4,5,5420,1,2001,98053
257500,3,2,1715,2,1995,98003
291850,3,2,1060,1,1963,98198
229500,3,1,1780,1,1960,98146
323000,3,3,1890,2,2003,98038
662500,3,3,3560,1,1965,98007
468000,2,1,1160,1,1942,98115
310000,3,1,1430,2,1927,98028
400000,3,2,1370,1,1977,98074
530000,5,2,1810,2,1900,98107
650000,4,3,2950,2,1979,98126
395000,3,2,1890,2,1994,98019
485000,4,1,1600,2,1916,98103
189000,2,1,1200,1,1921,98002
230000,3,1,1250,1,1969,98003
385000,4,2,1620,1,1947,98133
2.00E+06,3,3,3050,1,1968,98040
285000,5,3,2270,2,1995,98092
252700,2,2,1070,1,1985,98030
329000,3,2,2450,2,1985,98030
233000,3,2,1710,2,1941,98002
937000,3,2,2450,2,1915,98119
667000,3,1,1400,2,1909,98112
438000,3,2,1520,1,1948,98115
719000,4,3,2570,2,2005,98052
580500,3,3,2320,2,2003,98027
280000,2,2,1190,3,2005,98133
687500,4,2,2330,2,1929,98117
535000,3,1,1090,2,1929,98117
322500,4,3,2060,1,1981,98058
696000,3,3,2300,2,1930,98115
550000,4,1,1660,1,1933,98052
640000,4,2,2360,2,1904,98107
230000,6,2,2140,2,1903,98001
605000,4,3,2620,2,1996,98056
625000,4,3,2570,2,2000,98074
775000,4,2,4220,1,1984,98166
861990,5,3,3595,2,2014,98053
685000,3,1,1570,2,1922,98119
309000,3,1,1280,1,1959,98058
488000,3,3,3160,2,2003,98019
210490,3,1,990,1,1966,98023
785000,4,3,2290,2,1981,98007
450000,3,2,1250,1,1953,98115
1.35E+06,3,3,2753,1,1953,98070
228000,3,1,1190,1,1955,98148
345000,5,3,3150,1,1966,98056
600000,3,2,1410,1,1950,98117
585000,2,2,1980,1,1981,98117
920000,5,2,2730,2,1927,98105
885000,4,3,2830,2,1995,98105
292500,4,3,2250,2,2008,98042
301000,3,3,2420,2,2003,98042
951000,5,3,3250,2,1968,98008
430000,4,3,1850,2,1991,98059
650000,3,2,2150,1,1959,98166
289000,3,2,1260,1,1954,98148
505000,3,2,2519,2,1973,98166
549000,3,2,1540,3,2014,98115
425000,3,2,1660,1,1979,98122
317625,3,3,2770,2,1925,98144
1.75E+06,4,3,3910,2,1908,98004
165000,3,1,1150,1,1908,98001
204000,3,1,1000,1,1968,98042
1.45E+06,4,3,2750,2,1914,98004
1.04E+06,5,3,4770,1,1973,98005
325000,3,2,1260,1,1972,98034
571000,4,2,2750,2,1916,98125
360000,4,3,2380,2,2005,98038
349000,3,2,1790,1,1965,98042
832500,4,4,3430,2,1986,98075
380000,4,2,1760,1,1956,98008
480000,3,1,1040,1,1941,98116
410000,3,1,1410,1,1956,98133
199999,3,1,960,1,1900,98010
390000,3,3,2350,2,2003,98038
360000,4,3,1900,2,1992,98038
355000,2,1,2020,1,1948,98118
356000,3,2,1680,1,1964,98059
315000,3,1,960,1,1952,98125
940000,3,2,2140,2,1925,98119
305000,5,2,2660,2,1961,98092
461000,3,3,2770,2,2006,98056
215000,2,2,1610,2,1979,98056
335000,2,2,1030,2,2006,98136
243500,4,3,1980,2,1988,98023
1.10E+06,5,3,3520,2,2001,98199
153000,3,1,1200,1,1962,98023
430000,3,2,1580,1,1939,98117
700000,3,2,1580,1,1939,98117
905000,4,3,3300,1,1946,98040
247500,3,2,1960,1,1967,98032
199000,4,2,1160,1,1975,98023
314000,3,2,1810,1,1980,98038
437500,3,3,2320,2,1992,98045
850830,3,3,2070,2,1910,98102
555000,3,2,1980,2,1929,98117
699950,3,2,2190,2,1983,98077
3.00E+06,5,3,5370,2,1918,98004
290000,3,1,1210,1,1954,98058
375000,3,3,2340,1,1978,98058
460000,3,1,1670,2,1939,98117
188500,2,2,1240,1,1985,98198
680000,4,3,3140,2,1991,98077
470000,5,2,2030,2,1942,98052
597750,4,3,2310,2,1984,98027
570000,3,2,1260,1,1905,98103
272500,3,2,1540,1,1980,98038
329950,3,2,2080,1,1971,98108
262500,3,2,2259,2,1908,98001
740500,3,4,4380,2,1900,98117
518500,3,4,1590,3,2010,98103
205425,2,1,880,1,1945,98178
171800,4,2,1570,1,1950,98168
535000,4,1,1610,2,1925,98144
660000,3,3,2400,1,1964,98177
391500,3,2,1450,1,1987,98034
395000,2,1,770,1,1953,98117
445000,4,2,2100,2,1924,98118
770000,3,2,2910,2,1990,98052
2.41E+06,5,3,4600,2,1918,98004
445000,3,2,2100,1,1967,98178
260000,4,2,2160,1,1978,98023
822500,5,4,2320,2,1926,98103
430000,4,3,2070,2,2004,98065
212000,3,2,1060,1,1986,98092
660500,4,2,2010,1,1986,98027
784000,3,4,3950,2,1989,98052
453246,3,3,2010,2,2014,98029
675000,4,4,2140,3,2005,98107
199000,3,2,1320,1,1956,98003
220000,4,2,2020,1,1968,98003
452000,4,2,2590,1,1968,98028
382500,2,1,1190,1,1981,98125
519950,3,2,1170,3,2014,98107
665000,2,1,1110,1,1925,98119
527700,5,3,2820,1,1968,98006
205000,3,1,1610,1,1962,98058
420000,3,1,1060,1,1923,98133
500000,4,2,2030,1,1961,98006
921500,4,3,3670,2,1994,98077
890000,4,1,2550,2,1905,98109
430000,2,3,2420,2,2007,98027
258000,5,2,2260,1,1960,98032
511000,3,1,1430,1,1947,98103
532170,3,2,1360,2,1990,98103
560000,3,1,1110,2,1947,98107
282950,3,1,1250,1,1954,98003
2.25E+06,4,3,5180,2,2006,98006
350000,1,1,700,1,1942,98115
215000,3,1,1180,1,1967,98058
650000,5,4,3960,2,1996,98056
320000,4,3,2640,1,1967,98023
247000,3,2,1270,2,1916,98022
320000,4,2,1760,1,1968,98059
255000,5,2,2060,1,1962,98146
438000,3,2,1780,1,1962,98034
900000,3,3,3400,2,2000,98075
441000,3,3,1910,1,1979,98034
420000,3,2,2020,1,1975,98027
370000,3,2,1580,1,1976,98034
269950,2,2,1340,1,1949,98198
807100,4,3,2680,2,1999,98006
653000,3,3,2680,1,1979,98034
371500,3,2,1370,1,1964,98133
284000,3,2,1560,1,1954,98166
272000,3,2,2160,1,1978,98023
313000,3,2,1340,2,1955,98133
917500,4,3,3880,2,1984,98033
673000,4,2,2590,2,1980,98006
425000,3,3,1120,2,2008,98122
399950,5,3,1970,1,1986,98144
385000,3,1,1220,1,1901,98122
269950,3,2,1950,1,1975,98022
330000,2,1,1350,1,1949,98177
260000,3,3,1670,2,1988,98030
470000,4,3,2380,2,1925,98126
589000,4,3,2440,2,1961,98034
163500,2,2,1050,2,1996,98038
835000,4,3,3130,2,1993,98052
1.10E+06,5,3,4090,1,1986,98033
269000,4,2,1490,1,1969,98023
560000,3,3,1900,2,1987,98074
615000,4,1,1330,2,1901,98103
585188,3,2,2230,1,1975,98052
305000,3,2,1650,1,1977,98034
166950,3,1,1190,1,1959,98058
799000,3,3,2140,1,1959,98040
400000,3,3,2180,1,1962,98133
230000,3,1,1060,1,1948,98155
256883,3,3,1690,2,2003,98023
423000,4,2,1970,2,1920,98108
465000,3,3,2150,2,2007,98126
440000,3,3,1910,2,1997,98024
385000,3,2,1350,1,1969,98038
210000,3,1,860,1,1943,98056
297000,3,3,1940,2,1994,98042
470000,3,1,1010,1,1952,98107
226500,3,2,1300,1,1976,98023
274250,3,1,910,1,1962,98059
840000,4,2,2480,1,1966,98040
677900,3,3,2440,2,2010,98052
425000,3,1,1010,1,1915,98116
180250,2,1,900,1,1941,98166
464000,6,3,2300,2,1920,98133
320000,4,2,1550,2,1993,98038
625504,3,2,1270,2,2014,98105
592500,4,3,2240,1,1983,98074
185900,3,1,940,1,1909,98001
477000,4,3,1720,2,1978,98118
280000,2,1,850,1,1923,98168
1.51E+06,5,3,3300,1,1957,98040
445838,3,3,2250,2,2000,98146
1.07E+06,2,2,3900,1,1947,98144
467000,2,2,1320,1,1947,98177
686000,4,3,2760,2,1999,98075
279950,3,2,1750,1,1961,98198
527000,4,2,2330,2,1987,98011
325000,3,2,2220,1,1966,98030
328000,3,2,2020,2,1994,98038
390000,3,2,1250,1,1942,98146
479950,2,2,1510,1,2005,98053
264950,4,2,1720,1,1978,98023
235000,3,1,1430,1,1961,98031
516500,3,3,1480,2,2004,98053
655000,2,2,1450,2,1915,98166
500000,4,3,2280,1,1960,98059
315000,6,3,2940,1,1978,98023
213000,2,1,1000,1,1961,98024
475000,3,2,2480,2,1947,98108
1.03E+06,5,4,3760,2,1983,98033
200000,4,2,1780,2,1900,98010
410000,4,1,1970,2,1904,98122
800000,3,4,3830,2,1993,98077
472000,6,3,4410,1,1965,98003
225000,3,2,1430,1,1968,98003
210000,2,1,830,1,1940,98126
455000,2,1,1430,2,1925,98115
225000,3,1,1300,1,1954,98002
480000,2,1,1030,1,1918,98103
363000,3,3,2740,2,1990,98023
2.40E+06,4,3,3650,1,2000,98074
181000,2,2,720,1,1954,98106
250000,4,2,2010,1,1976,98002
481000,3,2,1560,1,1918,98103
260000,3,2,1810,1,1978,98032
455000,4,3,3360,2,2001,98058
415000,3,2,1510,2,1991,98045
349500,3,1,1400,1,1953,98118
245000,3,3,1730,2,1987,98030
592500,2,2,1420,2,1928,98115
385000,4,2,2360,1,1955,98106
315000,3,2,1580,1,1974,98059
255000,3,1,1230,1,1979,98045
693000,4,3,2460,2,2006,98052
780000,3,1,1660,2,1911,98112
237000,3,2,1270,1,1960,98198
525000,3,2,2100,2,1979,98074
425000,2,1,770,1,1930,98144
369900,1,1,760,1,1936,98070
290000,4,3,1700,2,1988,98031
285000,3,1,1120,1,1954,98106
415000,2,1,1070,1,1937,98115
272500,3,3,2070,1,1979,98023
1.00E+06,4,2,1780,2,1918,98004
1.37E+06,4,5,5310,2,1989,98077
436000,2,1,1040,1,1939,98133
210000,3,1,1700,1,1967,98003
236000,3,1,1300,1,1961,98178
